,id,listing_url,last_scraped,host_location,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,bathrooms_number,bathrooms_type,listing_duration,hosting_duration,price_per_person,is_local_host,total_unique_reviews,unique_review_rate,lat_name,lng_name,lat_lng_name,covid_case_rate,lat_long_id,total_crime_per_day
173,435909,https://www.airbnb.com/rooms/435909,2020-09-08 00:00:00,"New York, New York, United States",2012-04-18 00:00:00,within an hour,1,,f,West Village,1,1,t,t,West Village,Manhattan,40.73775,-74.00344,Entire loft,Entire home/apt,2,1 bath,1,2,151,88,730,88,88,730,730,88,730,t,0,6,36,311,19,0,0,2012-05-10 00:00:00,2016-12-24 00:00:00,100,10,9,10,10,10,9,f,1,1,0,0,0.19,1,undefined,1689,1711,75.5,t,4,0.210526316,5,5,5-5,11992.5,5-5,0.076284563
174,436912,https://www.airbnb.com/rooms/436912,2020-09-08 00:00:00,"New York, New York, United States",2012-04-18 00:00:00,within an hour,1,0.72,t,Tribeca,1,1,t,t,Tribeca,Manhattan,40.71642,-74.00554,Entire apartment,Entire home/apt,3,2 baths,2,2,524,7,30,7,7,30,30,7,30,t,27,57,87,362,65,0,0,2012-05-14 00:00:00,2016-02-10 00:00:00,96,10,10,10,10,10,9,f,1,1,0,0,0.64,2,undefined,1367,1393,174.6666667,t,4,0.061538462,5,5,5-5,11992.5,5-5,0.076284563
175,449660,https://www.airbnb.com/rooms/449660,2020-09-09 00:00:00,"New York, New York, United States",2012-04-26 00:00:00,,,0.4,t,Windsor Terrace,1,1,t,t,Windsor Terrace,Brooklyn,40.64814,-73.97304,Private room in apartment,Private room,2,1 shared bath,1,2,80,2,30,2,2,30,30,2,30,t,30,60,90,365,127,5,0,2012-05-06 00:00:00,2019-11-03 00:00:00,97,10,10,10,10,10,10,f,1,0,1,0,1.25,1,shared,2737,2747,40,t,9,0.070866142,3,6,3-6,22984.82,3-6,0.172545177
176,450577,https://www.airbnb.com/rooms/450577,2020-09-09 00:00:00,"New York, New York, United States",2012-04-27 00:00:00,within a few hours,1,0.86,t,Upper West Side,1,1,t,f,Upper West Side,Manhattan,40.77555,-73.9767,Entire apartment,Entire home/apt,2,1 bath,1,4,190,3,14,3,3,14,14,3,14,t,30,51,77,346,82,8,0,2012-05-22 00:00:00,2020-02-18 00:00:00,95,10,10,10,10,10,10,f,1,1,0,0,0.81,1,undefined,2828,2853,95,t,4,0.048780488,6,6,6-6,25265.89,6-6,0.26869693
177,452541,https://www.airbnb.com/rooms/452541,2020-09-09 00:00:00,"New York, New York, United States",2012-04-29 00:00:00,within a few hours,0.9,0.89,f,Windsor Terrace,1,1,t,t,Windsor Terrace,Brooklyn,40.66034,-73.9829,Entire apartment,Entire home/apt,2,1 bath,1,1,135,3,90,3,3,1125,1125,3,1125,t,27,57,87,266,143,17,0,2012-06-22 00:00:00,2020-04-23 00:00:00,96,10,10,10,10,10,10,f,1,1,0,0,1.43,1,undefined,2862,2916,67.5,t,5,0.034965035,4,6,4-6,12549.77,4-6,0.244448073
178,453094,https://www.airbnb.com/rooms/453094,2020-09-08 00:00:00,"New York, New York, United States",2010-06-03 00:00:00,within an hour,1,1,f,Clinton Hill,3,3,t,t,Clinton Hill,Brooklyn,40.68818,-73.96383,Private room in apartment,Private room,2,1 shared bath,1,1,72,2,1125,2,2,1125,1125,2,1125,t,23,50,80,355,371,24,1,2012-05-09 00:00:00,2020-08-15 00:00:00,90,10,9,10,10,10,10,t,2,0,2,0,3.66,1,shared,3020,3726,36,t,6,0.016172507,4,6,4-6,12549.77,4-6,0.244448073
179,456190,https://www.airbnb.com/rooms/456190,2020-09-08 00:00:00,"New York, New York, United States",2012-05-01 00:00:00,within an hour,1,0.94,f,West Village,2,2,t,f,West Village,Manhattan,40.73357,-74.00723,Entire house,Entire home/apt,2,1 bath,1,1,161,2,60,2,2,60,60,2,60,t,6,6,6,56,299,22,0,2012-07-01 00:00:00,2020-03-01 00:00:00,92,9,10,9,10,10,9,f,2,2,0,0,3,1,undefined,2800,2861,80.5,t,10,0.033444816,5,5,5-5,11992.5,5-5,0.076284563
180,466277,https://www.airbnb.com/rooms/466277,2020-09-08 00:00:00,"New York, New York, United States",2011-07-13 00:00:00,within an hour,1,0.88,t,East Williamsburg,2,2,t,t,Williamsburg,Brooklyn,40.7111,-73.94643,Entire apartment,Entire home/apt,5,1 bath,2,3,190,3,250,3,3,250,250,3,250,t,3,9,39,129,133,18,0,2012-05-24 00:00:00,2020-07-21 00:00:00,97,10,10,10,10,10,10,f,2,2,0,0,1.32,1,undefined,2980,3296,38,t,4,0.030075188,5,7,5-7,6381.48,5-7,0.131014587
181,467866,https://www.airbnb.com/rooms/467866,2020-09-08 00:00:00,"New York, New York, United States",2012-05-08 00:00:00,,,0.73,t,West Village,1,1,t,f,West Village,Manhattan,40.73123,-74.00591,Private room in apartment,Private room,2,1 shared bath,1,1,100,2,90,2,2,90,90,2,90,t,0,0,18,191,216,9,0,2012-05-28 00:00:00,2020-02-18 00:00:00,98,10,10,10,10,10,10,f,1,0,1,0,2.14,1,shared,2822,2842,50,t,9,0.041666667,5,5,5-5,11992.5,5-5,0.076284563
182,470709,https://www.airbnb.com/rooms/470709,2020-09-08 00:00:00,"New York, New York, United States",2012-05-10 00:00:00,within a few hours,1,0.44,f,Williamsburg,1,1,t,t,Williamsburg,Brooklyn,40.71856,-73.95166,Entire loft,Entire home/apt,4,1 bath,1,2,250,7,23,7,7,23,23,7,23,t,20,20,20,20,156,2,0,2012-10-07 00:00:00,2020-02-17 00:00:00,97,10,10,10,10,10,10,f,1,1,0,0,1.62,1,undefined,2689,2839,62.5,t,4,0.025641026,5,7,5-7,6381.48,5-7,0.131014587
183,483505,https://www.airbnb.com/rooms/483505,2020-09-08 00:00:00,"New York, New York, United States",2012-05-16 00:00:00,within an hour,1,0.96,t,Williamsburg,1,1,t,t,Williamsburg,Brooklyn,40.70743,-73.96728,Entire apartment,Entire home/apt,3,1 bath,1,2,135,7,1125,7,7,1125,1125,7,1125,t,23,50,67,287,79,9,0,2012-11-18 00:00:00,2020-05-11 00:00:00,97,10,10,10,10,9,9,t,1,1,0,0,0.83,1,undefined,2731,2917,45,t,5,0.063291139,5,6,5-6,17175.14,5-6,0.471940997
184,489018,https://www.airbnb.com/rooms/489018,2020-09-08 00:00:00,"New York, New York, United States",2011-07-25 00:00:00,within a few hours,1,0.95,t,Alphabet City,2,2,t,t,East Village,Manhattan,40.72457,-73.98453,Entire apartment,Entire home/apt,2,1 bath,1,2,185,4,300,4,4,1125,1125,4,1125,t,0,0,0,0,64,2,0,2012-08-04 00:00:00,2020-02-22 00:00:00,98,10,10,10,10,10,10,f,1,1,0,0,0.65,1,undefined,2758,3134,92.5,t,5,0.078125,5,6,5-6,17175.14,5-6,0.471940997
185,493611,https://www.airbnb.com/rooms/493611,2020-09-08 00:00:00,"New York, New York, United States",2011-11-14 00:00:00,within a day,0.8,0.54,t,Gowanus,2,2,t,t,Gowanus,Brooklyn,40.67862,-73.98561,Entire loft,Entire home/apt,4,1 bath,1,1,500,1,1125,1,1,1125,1125,1,1125,t,16,29,59,331,70,2,0,2012-06-04 00:00:00,2020-02-09 00:00:00,96,10,9,10,10,9,9,f,2,2,0,0,0.7,1,undefined,2806,3009,125,t,7,0.1,4,6,4-6,12549.77,4-6,0.244448073
